participant verb noun landmark input hilo
participant21 erupt storm flare 6 low
participant21 erupt fountain burst 6 high
participant21 erupt temper flare 7 high
participant21 erupt conflict burst 6 low
participant21 recoil heart flinch 5 high
participant21 recoil hand kick 1 low
participant21 recoil eye flinch 2 high
participant21 recoil rifle kick 7 high
participant21 boom noise prosper 1 low
participant21 boom export prosper 6 high
participant21 boom gun thunder 6 high
participant21 boom sale thunder 5 low
participant21 waver opinion fluctuate 7 high
participant21 waver concentration falter 7 low
participant21 waver courage fluctuate 7 low
participant21 waver determination falter 7 high
participant21 chatter machine click 3 high
participant21 chatter girl gabble 2 high
participant21 chatter tooth gabble 1 low
participant21 chatter child click 1 low
participant21 reel industry whirl 3 low
participant21 reel mind whirl 2 high
participant21 reel head stagger 1 low
participant21 reel man stagger 2 high
participant21 glow fire burn 5 high
participant21 glow face beam 7 high
participant21 glow cigar beam 2 low
participant21 glow skin burn 2 low
participant22 stray thought roam 5 low
participant22 stray discussion digress 4 high
participant22 stray eye roam 3 high
participant22 stray child digress 2 low
participant22 throb body pulse 5 high
participant22 throb head shudder 2 low
participant22 throb voice shudder 5 low
participant22 throb vein pulse 6 high
participant22 flare cigarette erupt 1 low
participant22 flare eye flame 6 high
participant22 flare argument erupt 6 high
participant22 flare row flame 3 low
participant22 rebound shot ricochet 6 high
participant22 rebound ball rally 2 low
participant22 rebound share ricochet 2 low
participant22 rebound optimism rally 6 high
participant22 flicker screen flick 6 high
participant22 flicker hope flick 4 low
participant22 flicker tongue waver 3 low
participant22 flicker interest waver 3 high
participant22 slump shoulder slouch 5 high
participant22 slump sale slouch 6 low
participant22 slump value decline 5 high
participant22 slump man decline 1 low
participant22 bow butler submit 2 low
participant22 bow company submit 6 high
participant22 bow head stoop 7 high
participant22 bow government stoop 6 low
participant22 erupt fountain burst 2 high
participant22 erupt conflict burst 3 low
participant22 erupt storm flare 4 low
participant22 erupt temper flare 7 high
participant22 recoil heart flinch 4 high
participant22 recoil rifle kick 6 high
participant22 recoil eye flinch 5 high
participant22 recoil hand kick 2 low
participant22 boom noise prosper 1 low
participant22 boom export prosper 6 high
participant22 boom gun thunder 7 high
participant22 boom sale thunder 2 low
participant22 waver opinion fluctuate 4 high
participant22 waver concentration falter 6 low
participant22 waver courage fluctuate 2 low
participant22 waver determination falter 5 high
participant22 subside island sink 3 high
participant22 subside fear lessen 5 high
participant22 subside symptom sink 1 low
participant22 subside flood lessen 4 high
participant22 chatter machine click 5 high
participant22 chatter girl gabble 7 high
participant22 chatter tooth gabble 2 low
participant22 chatter child click 2 low
participant22 reel industry whirl 2 low
participant22 reel mind whirl 6 high
participant22 reel head stagger 3 low
participant22 reel man stagger 5 high
participant22 glow fire burn 4 high
participant22 glow skin burn 3 low
participant22 glow cigar beam 2 low
participant22 glow face beam 6 high
participant23 stray thought roam 4 low
participant23 stray discussion digress 4 high
participant23 stray eye roam 5 high
participant23 stray child digress 2 low
participant23 throb body pulse 6 high
participant23 throb head shudder 2 low
participant23 throb voice shudder 2 low
participant23 throb vein pulse 5 high
participant23 subside flood lessen 7 high
participant23 subside fear lessen 5 high
participant23 subside symptom sink 3 low
participant23 subside island sink 2 high
participant23 rebound shot ricochet 2 high
participant23 rebound ball rally 1 low
participant23 rebound share ricochet 5 low
participant23 rebound optimism rally 3 high
participant23 flicker screen flick 4 high
participant23 flicker tongue waver 5 low
participant23 flicker hope flick 3 low
participant23 flicker interest waver 2 high
participant23 slump shoulder slouch 5 high
participant23 slump sale slouch 4 low
participant23 slump value decline 2 high
participant23 slump man decline 1 low
participant23 bow butler submit 3 low
participant23 bow head stoop 5 high
participant23 bow company submit 4 high
participant23 bow government stoop 3 low
participant23 erupt storm flare 6 low
participant23 erupt fountain burst 4 high
participant23 erupt temper flare 6 high
participant23 erupt conflict burst 2 low
participant23 recoil heart flinch 5 high
participant23 recoil rifle kick 3 high
participant23 recoil eye flinch 5 high
participant23 recoil hand kick 1 low
participant23 boom noise prosper 3 low
participant23 boom export prosper 6 high
participant23 boom sale thunder 3 low
participant23 boom gun thunder 5 high
participant23 waver opinion fluctuate 2 high
participant23 waver concentration falter 6 low
participant23 waver courage fluctuate 2 low
participant23 waver determination falter 2 high
participant23 flare cigarette erupt 3 low
participant23 flare eye flame 5 high
participant23 flare argument erupt 5 high
participant23 flare row flame 4 low
participant23 chatter machine click 5 high
participant23 chatter girl gabble 6 high
participant23 chatter tooth gabble 4 low
participant23 chatter child click 2 low
participant23 reel head stagger 2 low
participant23 reel mind whirl 2 high
participant23 reel industry whirl 3 low
participant23 reel man stagger 2 high
participant23 glow fire burn 4 high
participant23 glow face beam 2 high
participant23 glow cigar beam 3 low
participant23 glow skin burn 2 low
participant24 stray thought roam 6 low
participant24 stray discussion digress 6 high
participant24 stray eye roam 6 high
participant24 stray child digress 3 low
participant24 throb body pulse 5 high
participant24 throb head shudder 5 low
participant24 throb voice shudder 2 low
participant24 throb vein pulse 6 high
participant24 subside flood lessen 5 high
participant24 subside fear lessen 6 high
participant24 subside symptom sink 4 low
participant24 subside island sink 1 high
participant24 rebound share ricochet 1 low
participant24 rebound ball rally 1 low
participant24 rebound shot ricochet 5 high
participant24 rebound optimism rally 4 high
participant24 flicker screen flick 4 high
participant24 flicker tongue waver 1 low
participant24 flicker interest waver 4 high
participant24 flicker hope flick 1 low
participant24 slump shoulder slouch 6 high
participant24 slump sale slouch 4 low
participant24 slump value decline 5 high
participant24 slump man decline 3 low
participant24 bow butler submit 4 low
participant24 bow company submit 6 high
participant24 bow head stoop 3 high
participant24 bow government stoop 2 low
participant24 erupt fountain burst 2 high
participant24 erupt conflict burst 2 low
participant24 erupt storm flare 6 low
participant24 erupt temper flare 6 high
participant24 recoil heart flinch 3 high
participant24 recoil rifle kick 5 high
participant24 recoil eye flinch 2 high
participant24 recoil hand kick 1 low
participant24 boom noise prosper 4 low
participant24 boom export prosper 6 high
participant24 boom gun thunder 6 high
participant24 boom sale thunder 1 low
participant24 waver opinion fluctuate 4 high
participant24 waver concentration falter 3 low
participant24 waver courage fluctuate 5 low
participant24 waver determination falter 5 high
participant24 flare cigarette erupt 1 low
participant24 flare eye flame 5 high
participant24 flare argument erupt 6 high
participant24 flare row flame 2 low
participant24 reel industry whirl 1 low
participant24 reel mind whirl 5 high
participant24 reel head stagger 2 low
participant24 reel man stagger 5 high
participant24 chatter machine click 5 high
participant24 chatter girl gabble 5 high
participant24 chatter tooth gabble 1 low
participant24 chatter child click 1 low
participant24 glow fire burn 4 high
participant24 glow face beam 6 high
participant24 glow cigar beam 1 low
participant24 glow skin burn 1 low
participant25 stray thought roam 3 low
participant25 stray discussion digress 3 high
participant25 stray eye roam 6 high
participant25 stray child digress 4 low
participant25 throb body pulse 2 high
participant25 throb head shudder 2 low
participant25 throb voice shudder 5 low
participant25 throb vein pulse 5 high
participant25 chatter machine click 3 high
participant25 chatter girl gabble 5 high
participant25 chatter child click 4 low
participant25 chatter tooth gabble 2 low
participant25 rebound share ricochet 4 low
participant25 rebound ball rally 4 low
participant25 rebound shot ricochet 3 high
participant25 rebound optimism rally 3 high
participant25 flicker tongue waver 1 low
participant25 flicker hope flick 3 low
participant25 flicker screen flick 2 high
participant25 flicker interest waver 6 high
participant25 subside flood lessen 4 high
participant25 subside fear lessen 6 high
participant25 subside symptom sink 2 low
participant25 subside island sink 5 high
participant25 slump shoulder slouch 5 high
participant25 slump sale slouch 6 low
participant25 slump value decline 6 high
participant25 slump man decline 1 low
participant25 bow butler submit 5 low
participant25 bow head stoop 3 high
participant25 bow company submit 5 high
participant25 bow government stoop 3 low
participant25 erupt storm flare 3 low
participant25 erupt fountain burst 1 high
participant25 erupt temper flare 2 high
participant25 erupt conflict burst 2 low
participant25 recoil heart flinch 3 high
participant25 recoil hand kick 2 low
participant25 recoil eye flinch 6 high
participant25 recoil rifle kick 6 high
participant25 boom noise prosper 2 low
participant25 boom export prosper 6 high
participant25 boom gun thunder 6 high
participant25 boom sale thunder 2 low
participant25 waver opinion fluctuate 6 high
participant25 waver concentration falter 4 low
participant25 waver courage fluctuate 3 low
participant25 waver determination falter 3 high
participant25 flare cigarette erupt 5 low
participant25 flare eye flame 3 high
participant25 flare argument erupt 2 high
participant25 flare row flame 2 low
participant25 reel industry whirl 4 low
participant25 reel mind whirl 6 high
participant25 reel head stagger 2 low
participant25 reel man stagger 1 high
participant25 glow fire burn 2 high
participant25 glow skin burn 2 low
participant25 glow cigar beam 3 low
participant25 glow face beam 4 high
participant26 stray thought roam 7 low
participant26 stray discussion digress 4 high
participant26 stray eye roam 7 high
participant26 stray child digress 3 low
participant26 throb body pulse 4 high
participant26 throb head shudder 2 low
participant26 throb voice shudder 2 low
participant26 throb vein pulse 6 high
participant26 subside flood lessen 4 high
participant26 subside fear lessen 5 high
participant26 subside symptom sink 1 low
participant26 subside island sink 1 high
participant26 rebound share ricochet 3 low
participant26 rebound ball rally 1 low
participant26 rebound shot ricochet 6 high
participant26 rebound optimism rally 6 high
participant26 flicker tongue waver 1 low
participant26 flicker screen flick 4 high
participant26 flicker interest waver 3 high
participant26 flicker hope flick 2 low
participant26 slump shoulder slouch 5 high
participant26 slump sale slouch 4 low
participant26 slump value decline 5 high
participant26 slump man decline 2 low
participant26 bow butler submit 4 low
participant26 bow head stoop 5 high
participant26 bow company submit 5 high
participant26 bow government stoop 5 low
participant26 erupt fountain burst 5 high
participant26 erupt storm flare 4 low
participant26 erupt conflict burst 7 low
participant26 erupt temper flare 5 high
participant26 recoil heart flinch 4 high
participant26 recoil hand kick 1 low
participant26 recoil eye flinch 4 high
participant26 recoil rifle kick 4 high
participant26 boom noise prosper 2 low
participant26 boom export prosper 3 high
participant26 boom gun thunder 5 high
participant26 boom sale thunder 2 low
participant26 waver opinion fluctuate 3 high
participant26 waver concentration falter 4 low
participant26 waver courage fluctuate 3 low
participant26 waver determination falter 4 high
participant26 flare cigarette erupt 3 low
participant26 flare eye flame 5 high
participant26 flare argument erupt 4 high
participant26 flare row flame 3 low
participant26 reel industry whirl 3 low
participant26 reel mind whirl 6 high
participant26 reel head stagger 2 low
participant26 reel man stagger 4 high
participant26 chatter machine click 5 high
participant26 chatter girl gabble 2 high
participant26 chatter child click 4 low
participant26 chatter tooth gabble 3 low
participant26 glow fire burn 4 high
participant26 glow skin burn 1 low
participant26 glow cigar beam 2 low
participant26 glow face beam 5 high
participant27 stray thought roam 5 low
participant27 stray discussion digress 7 high
participant27 stray eye roam 4 high
participant27 stray child digress 2 low
participant27 throb body pulse 6 high
participant27 throb head shudder 3 low
participant27 throb voice shudder 4 low
participant27 throb vein pulse 7 high
participant27 flare cigarette erupt 5 low
participant27 flare eye flame 5 high
participant27 flare argument erupt 4 high
participant27 flare row flame 3 low
participant27 rebound shot ricochet 7 high
participant27 rebound ball rally 2 low
participant27 rebound share ricochet 6 low
participant27 rebound optimism rally 4 high
participant27 flicker tongue waver 3 low
participant27 flicker screen flick 2 high
participant27 flicker interest waver 5 high
participant27 flicker hope flick 2 low
participant27 slump shoulder slouch 7 high
participant27 slump sale slouch 2 low
participant27 slump value decline 7 high
participant27 slump man decline 3 low
participant27 bow butler submit 2 low
participant27 bow head stoop 7 high
participant27 bow company submit 4 high
participant27 bow government stoop 2 low
participant27 erupt fountain burst 6 high
participant27 erupt conflict burst 3 low
participant27 erupt storm flare 4 low
participant27 erupt temper flare 4 high
participant27 recoil heart flinch 5 high
participant27 recoil rifle kick 6 high
participant27 recoil eye flinch 4 high
participant27 recoil hand kick 3 low
participant27 boom noise prosper 2 low
participant27 boom export prosper 7 high
participant27 boom sale thunder 2 low
participant27 boom gun thunder 6 high
participant27 waver opinion fluctuate 5 high
participant27 waver concentration falter 6 low
participant27 waver courage fluctuate 4 low
participant27 waver determination falter 6 high
participant27 subside flood lessen 6 high
participant27 subside fear lessen 7 high
participant27 subside symptom sink 2 low
participant27 subside island sink 6 high
participant27 reel head stagger 3 low
participant27 reel mind whirl 4 high
participant27 reel industry whirl 3 low
participant27 reel man stagger 5 high
participant27 chatter machine click 5 high
participant27 chatter girl gabble 5 high
participant27 chatter tooth gabble 1 low
participant27 chatter child click 1 low
participant27 glow fire burn 5 high
participant27 glow face beam 7 high
participant27 glow cigar beam 2 low
participant27 glow skin burn 3 low
participant28 stray thought roam 6 low
participant28 stray discussion digress 7 high
participant28 stray eye roam 6 high
participant28 stray child digress 1 low
participant28 throb body pulse 7 high
participant28 throb head shudder 2 low
participant28 throb voice shudder 3 low
participant28 throb vein pulse 7 high
participant28 chatter machine click 5 high
participant28 chatter girl gabble 4 high
participant28 chatter tooth gabble 4 low
participant28 chatter child click 2 low
participant28 rebound share ricochet 2 low
participant28 rebound ball rally 1 low
participant28 rebound shot ricochet 6 high
participant28 rebound optimism rally 6 high
participant28 flicker tongue waver 2 low
participant28 flicker hope flick 1 low
participant28 flicker screen flick 4 high
participant28 flicker interest waver 6 high
participant28 subside island sink 6 high
participant28 subside fear lessen 7 high
participant28 subside symptom sink 2 low
participant28 subside flood lessen 7 high
participant28 slump shoulder slouch 5 high
participant28 slump sale slouch 1 low
participant28 slump value decline 6 high
participant28 slump man decline 1 low
participant28 bow butler submit 2 low
participant28 bow company submit 6 high
participant28 bow head stoop 3 high
participant28 bow government stoop 3 low
participant28 erupt storm flare 6 low
participant28 erupt fountain burst 3 high
participant28 erupt temper flare 5 high
participant28 erupt conflict burst 3 low
participant28 recoil heart flinch 7 high
participant28 recoil hand kick 2 low
participant28 recoil eye flinch 7 high
participant28 recoil rifle kick 3 high
participant28 boom noise prosper 1 low
participant28 boom export prosper 7 high
participant28 boom sale thunder 4 low
participant28 boom gun thunder 6 high
participant28 waver opinion fluctuate 7 high
participant28 waver concentration falter 7 low
participant28 waver courage fluctuate 6 low
participant28 waver determination falter 6 high
participant28 flare cigarette erupt 3 low
participant28 flare eye flame 7 high
participant28 flare argument erupt 6 high
participant28 flare row flame 3 low
participant28 reel head stagger 1 low
participant28 reel mind whirl 7 high
participant28 reel industry whirl 1 low
participant28 reel man stagger 6 high
participant28 glow fire burn 2 high
participant28 glow skin burn 1 low
participant28 glow cigar beam 1 low
participant28 glow face beam 3 high
participant29 stray thought roam 5 low
participant29 stray discussion digress 6 high
participant29 stray eye roam 4 high
participant29 stray child digress 2 low
participant29 throb body pulse 4 high
participant29 throb head shudder 4 low
participant29 throb voice shudder 3 low
participant29 throb vein pulse 5 high
participant29 flare cigarette erupt 1 low
participant29 flare eye flame 5 high
participant29 flare argument erupt 5 high
participant29 flare row flame 5 low
participant29 rebound share ricochet 4 low
participant29 rebound ball rally 2 low
participant29 rebound shot ricochet 5 high
participant29 rebound optimism rally 2 high
participant29 flicker tongue waver 5 low
participant29 flicker hope flick 3 low
participant29 flicker screen flick 3 high
participant29 flicker interest waver 3 high
participant29 slump shoulder slouch 5 high
participant29 slump sale slouch 5 low
participant29 slump value decline 6 high
participant29 slump man decline 2 low
participant29 bow butler submit 2 low
participant29 bow company submit 2 high
participant29 bow head stoop 3 high
participant29 bow government stoop 3 low
participant29 erupt storm flare 4 low
participant29 erupt fountain burst 3 high
participant29 erupt temper flare 6 high
participant29 erupt conflict burst 3 low
participant29 recoil heart flinch 5 high
participant29 recoil rifle kick 5 high
participant29 recoil eye flinch 3 high
participant29 recoil hand kick 1 low
participant29 boom noise prosper 2 low
participant29 boom export prosper 6 high
participant29 boom gun thunder 6 high
participant29 boom sale thunder 5 low
participant29 waver opinion fluctuate 6 high
participant29 waver concentration falter 5 low
participant29 waver courage fluctuate 5 low
participant29 waver determination falter 5 high
participant29 subside flood lessen 6 high
participant29 subside fear lessen 5 high
participant29 subside symptom sink 3 low
participant29 subside island sink 5 high
participant29 reel head stagger 3 low
participant29 reel mind whirl 5 high
participant29 reel industry whirl 2 low
participant29 reel man stagger 3 high
participant29 chatter machine click 4 high
participant29 chatter girl gabble 5 high
participant29 chatter child click 1 low
participant29 chatter tooth gabble 3 low
participant29 glow fire burn 3 high
participant29 glow face beam 4 high
participant29 glow cigar beam 4 low
participant29 glow skin burn 1 low
participant36 stray thought digress 6 high
participant36 stray discussion roam 5 low
participant36 stray eye digress 2 low
participant36 stray child roam 5 high
participant36 throb body shudder 4 low
participant36 throb head pulse 6 high
participant36 throb voice pulse 2 high
participant36 throb vein shudder 4 low
participant36 flare cigarette flame 5 high
participant36 flare eye erupt 3 low
participant36 flare argument flame 4 low
participant36 flare row erupt 7 high
participant36 rebound share rally 6 high
participant36 rebound ball ricochet 6 high
participant36 rebound shot rally 4 low
participant36 rebound optimism ricochet 4 low
participant36 flicker screen waver 3 low
participant36 flicker interest flick 2 low
participant36 flicker tongue flick 3 high
participant36 flicker hope waver 5 high
participant36 slump shoulder decline 2 low
participant36 slump sale decline 7 high
participant36 slump value slouch 3 low
participant36 slump man slouch 6 high
participant36 bow butler stoop 4 high
participant36 bow company stoop 2 low
participant36 bow head submit 3 low
participant36 bow government submit 6 high
participant36 erupt storm burst 6 high
participant36 erupt fountain flare 2 low
participant36 erupt temper burst 5 low
participant36 erupt conflict flare 6 high
participant36 recoil heart kick 2 low
participant36 recoil rifle flinch 2 low
participant36 recoil eye kick 2 low
participant36 recoil hand flinch 6 high
participant36 boom noise thunder 6 high
participant36 boom export thunder 2 low
participant36 boom gun prosper 1 low
participant36 boom sale prosper 6 high
participant36 waver opinion falter 6 low
participant36 waver concentration fluctuate 7 high
participant36 waver courage falter 7 high
participant36 waver determination fluctuate 6 low
participant36 subside flood sink 3 low
participant36 subside fear sink 4 low
participant36 subside symptom lessen 7 high
participant36 subside island lessen 5 low
participant36 chatter machine gabble 6 low
participant36 chatter girl click 1 low
participant36 chatter tooth click 1 high
participant36 chatter child gabble 7 high
participant36 reel industry stagger 3 high
participant36 reel mind stagger 4 low
participant36 reel head whirl 5 high
participant36 reel man whirl 6 low
participant36 glow fire beam 2 low
participant36 glow skin beam 3 high
participant36 glow cigar burn 5 high
participant36 glow face burn 5 low
participant46 stray thought digress 7 high
participant46 stray discussion roam 6 low
participant46 stray eye digress 3 low
participant46 stray child roam 5 high
participant46 throb body shudder 4 low
participant46 throb head pulse 6 high
participant46 throb voice pulse 4 high
participant46 throb vein shudder 3 low
participant46 flare cigarette flame 5 high
participant46 flare eye erupt 4 low
participant46 flare argument flame 6 low
participant46 flare row erupt 5 high
participant46 rebound share rally 4 high
participant46 rebound ball ricochet 6 high
participant46 rebound shot rally 5 low
participant46 rebound optimism ricochet 2 low
participant46 flicker tongue flick 6 high
participant46 flicker interest flick 4 low
participant46 flicker screen waver 7 low
participant46 flicker hope waver 5 high
participant46 slump shoulder decline 5 low
participant46 slump sale decline 7 high
participant46 slump value slouch 5 low
participant46 slump man slouch 7 high
participant46 bow butler stoop 4 high
participant46 bow head submit 4 low
participant46 bow company stoop 5 low
participant46 bow government submit 6 high
participant46 erupt storm burst 4 high
participant46 erupt fountain flare 6 low
participant46 erupt temper burst 4 low
participant46 erupt conflict flare 5 high
participant46 recoil heart kick 3 low
participant46 recoil hand flinch 6 high
participant46 recoil eye kick 1 low
participant46 recoil rifle flinch 6 low
participant46 boom noise thunder 6 high
participant46 boom export thunder 4 low
participant46 boom sale prosper 7 high
participant46 boom gun prosper 1 low
participant46 waver opinion falter 6 low
participant46 waver concentration fluctuate 6 high
participant46 waver courage falter 7 high
participant46 waver determination fluctuate 6 low
participant46 subside island lessen 4 low
participant46 subside fear sink 5 low
participant46 subside symptom lessen 7 high
participant46 subside flood sink 2 low
participant46 reel industry stagger 6 high
participant46 reel mind stagger 6 low
participant46 reel head whirl 4 high
participant46 reel man whirl 5 low
participant46 chatter machine gabble 6 low
participant46 chatter girl click 2 low
participant46 chatter tooth click 5 high
participant46 chatter child gabble 6 high
participant46 glow skin beam 6 high
participant46 glow fire beam 3 low
participant46 glow cigar burn 5 high
participant46 glow face burn 7 low
participant47 stray thought digress 5 high
participant47 stray discussion roam 6 low
participant47 stray eye digress 3 low
participant47 stray child roam 6 high
participant47 throb body shudder 3 low
participant47 throb head pulse 5 high
participant47 throb voice pulse 4 high
participant47 throb vein shudder 2 low
participant47 slump shoulder decline 4 low
participant47 slump sale decline 6 high
participant47 slump value slouch 3 low
participant47 slump man slouch 7 high
participant47 rebound shot rally 2 low
participant47 rebound ball ricochet 7 high
participant47 rebound share rally 5 high
participant47 rebound optimism ricochet 3 low
participant47 flicker screen waver 5 low
participant47 flicker hope waver 6 high
participant47 flicker tongue flick 5 high
participant47 flicker interest flick 2 low
participant47 subside flood sink 3 low
participant47 subside fear sink 5 low
participant47 subside symptom lessen 6 high
participant47 subside island lessen 2 low
participant47 bow butler stoop 4 high
participant47 bow company stoop 3 low
participant47 bow head submit 3 low
participant47 bow government submit 3 high
participant47 erupt fountain flare 5 low
participant47 erupt temper burst 5 low
participant47 erupt storm burst 3 high
participant47 erupt conflict flare 6 high
participant47 recoil heart kick 3 low
participant47 recoil rifle flinch 3 low
participant47 recoil eye kick 4 low
participant47 recoil hand flinch 6 high
participant47 boom noise thunder 6 high
participant47 boom export thunder 3 low
participant47 boom gun prosper 4 low
participant47 boom sale prosper 6 high
participant47 waver opinion falter 6 low
participant47 waver concentration fluctuate 6 high
participant47 waver courage falter 6 high
participant47 waver determination fluctuate 7 low
participant47 flare cigarette flame 3 high
participant47 flare eye erupt 3 low
participant47 flare argument flame 3 low
participant47 flare row erupt 5 high
participant47 chatter machine gabble 6 low
participant47 chatter girl click 3 low
participant47 chatter tooth click 3 high
participant47 chatter child gabble 2 high
participant47 reel head whirl 2 high
participant47 reel mind stagger 2 low
participant47 reel industry stagger 4 high
participant47 reel man whirl 2 low
participant47 glow fire beam 2 low
participant47 glow face burn 3 low
participant47 glow cigar burn 4 high
participant47 glow skin beam 5 high
participant44 subside island lessen 3 low
participant44 subside fear sink 7 low
participant44 subside symptom lessen 6 high
participant44 subside flood sink 4 low
participant44 stray thought digress 7 high
participant44 stray discussion roam 4 low
participant44 stray eye digress 5 low
participant44 stray child roam 5 high
participant44 throb body shudder 3 low
participant44 throb head pulse 5 high
participant44 throb voice pulse 4 high
participant44 throb vein shudder 2 low
participant44 chatter machine gabble 3 low
participant44 chatter girl click 4 low
participant44 chatter child gabble 6 high
participant44 chatter tooth click 3 high
participant44 rebound share rally 2 high
participant44 rebound ball ricochet 7 high
participant44 rebound shot rally 1 low
participant44 rebound optimism ricochet 3 low
participant44 flicker screen waver 2 low
participant44 flicker hope waver 5 high
participant44 flicker tongue flick 4 high
participant44 flicker interest flick 1 low
participant44 slump shoulder decline 4 low
participant44 slump sale decline 6 high
participant44 slump value slouch 2 low
participant44 slump man slouch 7 high
participant44 bow butler stoop 3 high
participant44 bow company stoop 5 low
participant44 bow head submit 3 low
participant44 bow government submit 7 high
participant44 erupt fountain flare 4 low
participant44 erupt temper burst 3 low
participant44 erupt storm burst 4 high
participant44 erupt conflict flare 5 high
participant44 recoil heart kick 2 low
participant44 recoil hand flinch 5 high
participant44 recoil eye kick 1 low
participant44 recoil rifle flinch 2 low
participant44 boom noise thunder 7 high
participant44 boom export thunder 5 low
participant44 boom gun prosper 5 low
participant44 boom sale prosper 7 high
participant44 waver opinion falter 6 low
participant44 waver concentration fluctuate 5 high
participant44 waver courage falter 7 high
participant44 waver determination fluctuate 3 low
participant44 flare cigarette flame 5 high
participant44 flare eye erupt 3 low
participant44 flare argument flame 5 low
participant44 flare row erupt 4 high
participant44 reel industry stagger 3 high
participant44 reel mind stagger 4 low
participant44 reel head whirl 4 high
participant44 reel man whirl 3 low
participant44 glow fire beam 3 low
participant44 glow face burn 3 low
participant44 glow cigar burn 6 high
participant44 glow skin beam 6 high
participant45 stray thought digress 7 high
participant45 stray discussion roam 6 low
participant45 stray eye digress 3 low
participant45 stray child roam 3 high
participant45 throb body shudder 2 low
participant45 throb head pulse 6 high
participant45 throb voice pulse 5 high
participant45 throb vein shudder 1 low
participant45 flare cigarette flame 6 high
participant45 flare eye erupt 3 low
participant45 flare argument flame 5 low
participant45 flare row erupt 6 high
participant45 rebound shot rally 2 low
participant45 rebound ball ricochet 7 high
participant45 rebound share rally 6 high
participant45 rebound optimism ricochet 2 low
participant45 flicker screen waver 3 low
participant45 flicker tongue flick 6 high
participant45 flicker interest flick 2 low
participant45 flicker hope waver 4 high
participant45 slump shoulder decline 3 low
participant45 slump sale decline 7 high
participant45 slump value slouch 3 low
participant45 slump man slouch 6 high
participant45 bow butler stoop 5 high
participant45 bow head submit 5 low
participant45 bow company stoop 2 low
participant45 bow government submit 7 high
participant45 erupt fountain flare 3 low
participant45 erupt conflict flare 6 high
participant45 erupt storm burst 2 high
participant45 erupt temper burst 6 low
participant45 recoil heart kick 3 low
participant45 recoil rifle flinch 2 low
participant45 recoil eye kick 2 low
participant45 recoil hand flinch 5 high
participant45 boom noise thunder 7 high
participant45 boom export thunder 2 low
participant45 boom gun prosper 1 low
participant45 boom sale prosper 6 high
participant45 waver opinion falter 6 low
